,distance,OrderID,WebsiteID,OrderDate,Courier,ProductsExVAT,DeliveryExVAT,DateDespatched,DeliveryCost,Weight,Volume (m3),Pallets,id,Outward Code,Country,latitude,longitude,Cluster Label
16,43.04,2284166,659011,04/04/2023,MFS,252.96,0,04/04/2023,40.07,144.48,1.38,1,1934,OX18,United Kingdom,51.767526,-1.582311,3
17,43.04,2282403,671356,03/04/2023,DX Freight,259.34,0,03/04/2023,21.89,48,2.540272,1.8125,1934,OX18,United Kingdom,51.767526,-1.582311,3
18,43.04,2293867,671356,17/04/2023,DX Freight,170.93,0,17/04/2023,20.17,43.9,1.952005,1.291666667,1934,OX18,United Kingdom,51.767526,-1.582311,3
19,43.04,2287255,710024,08/04/2023,DX Freight,117.42,0,11/04/2023,14.06,27.7,0.29533,0.20712963,1934,OX18,United Kingdom,51.767526,-1.582311,3
20,43.04,2284990,725467,05/04/2023,DX Freight,109.6,0,05/04/2023,11.36,20.4,0.214875,0.113636364,1934,OX18,United Kingdom,51.767526,-1.582311,3
21,43.04,2294622,854122,18/04/2023,DX Freight,105.33,0,18/04/2023,12.85,24.42,0.550028,0.384583333,1934,OX18,United Kingdom,51.767526,-1.582311,3
22,43.04,2297483,865093,20/04/2023,DX Express,61,7.17,20/04/2023,6.76,10,0.13866,0.111111111,1934,OX18,United Kingdom,51.767526,-1.582311,3
23,43.04,2298991,878650,21/04/2023,DX Freight,150.47,19.99,21/04/2023,21.32,46.25,0.718654762,0.523448773,1934,OX18,United Kingdom,51.767526,-1.582311,3
24,43.04,2299274,901575,21/04/2023,DX Express,61.47,7.17,24/04/2023,6.76,16.01,0.021816,0.025,1934,OX18,United Kingdom,51.767526,-1.582311,3
25,2.34,2285048,13038,05/04/2023,DX Freight,170.94,0,05/04/2023,14.45,28.5,0.04406,0.044322917,597,CV5,United Kingdom,52.424186,-1.562449,3
26,2.34,2279113,55943,29/03/2023,DX Freight,100.97,0,30/03/2023,19.95,42.44,0.36033,0.328571429,597,CV5,United Kingdom,52.424186,-1.562449,3
27,2.34,2294712,55943,18/04/2023,DX Freight,153.7,0,18/04/2023,25.17,56.71,0.775375,0.594047619,597,CV5,United Kingdom,52.424186,-1.562449,3
28,2.34,2295574,155913,18/04/2023,MFS,505.74,0,18/04/2023,34.46,177.66,0.37467,0.444091916,597,CV5,United Kingdom,52.424186,-1.562449,3
29,2.34,2280256,179864,30/03/2023,DX Express,34.02,7.21,30/03/2023,6.8,14.76,0.0324,0.025,597,CV5,United Kingdom,52.424186,-1.562449,3
30,2.34,2288859,392409,11/04/2023,DX Freight,191.7,0,11/04/2023,31.72,73.6,0.456064619,0.26046627,597,CV5,United Kingdom,52.424186,-1.562449,3
31,2.34,2288292,552101,11/04/2023,MFS,1060.2,0,11/04/2023,98.28,684,4.104,3,597,CV5,United Kingdom,52.424186,-1.562449,3
32,2.34,2281788,665788,02/04/2023,DX Freight,169.92,0,03/04/2023,13.74,27,2.8224,1.5,597,CV5,United Kingdom,52.424186,-1.562449,3
33,2.34,2278603,768553,29/03/2023,DX Express,158.8,19.99,29/03/2023,6.8,9.1,0.02635,0.4,597,CV5,United Kingdom,52.424186,-1.562449,3
34,2.34,2291278,853879,13/04/2023,DX Express,52.11,7.18,13/04/2023,6.77,12.18,0.020428571,0.014354727,597,CV5,United Kingdom,52.424186,-1.562449,3
35,2.34,2284451,858534,04/04/2023,DX Freight,283.9,0,04/04/2023,48.1,115.5,2.7,1.25,597,CV5,United Kingdom,52.424186,-1.562449,3
36,2.34,2277874,858669,29/03/2023,DX Freight,67.07,13.64,29/03/2023,12.18,22.72,0.20922,0.202020202,597,CV5,United Kingdom,52.424186,-1.562449,3
37,2.34,2277627,871062,28/03/2023,DX Express,27,7.21,28/03/2023,6.8,1.1,0.0025,0.00297619,597,CV5,United Kingdom,52.424186,-1.562449,3
38,2.34,2283037,898595,03/04/2023,DX Express,65.4,7.21,03/04/2023,6.8,2,0.0007,0.009920635,597,CV5,United Kingdom,52.424186,-1.562449,3
39,2.34,2281759,812664,02/04/2023,DX Express,50.48,7.21,03/04/2023,6.8,18.03,0.11526,0.142857143,597,CV5,United Kingdom,52.424186,-1.562449,3
40,29.8,2297608,15160,20/04/2023,DX Express,42.26,7.17,20/04/2023,6.76,8.56,0.053674,0.028439153,2915,WS15,United Kingdom,52.765303,-1.911238,1
41,29.8,2284486,53564,04/04/2023,DX Express,125.97,0,04/04/2023,12.4,37.14,0.0744,0.03968254,2915,WS15,United Kingdom,52.765303,-1.911238,1
42,29.8,2296550,249205,19/04/2023,DX Freight,215.76,0,19/04/2023,20.94,45.9,0.135,0.09375,2915,WS15,United Kingdom,52.765303,-1.911238,1
43,29.8,2297374,364306,20/04/2023,MFS,439.74,0,20/04/2023,34.46,156.9,0.3168,0.298611111,2915,WS15,United Kingdom,52.765303,-1.911238,1
44,29.8,2277358,422587,28/03/2023,DX Freight,422.88,0,28/03/2023,16.84,34,1.968,0.666666667,2915,WS15,United Kingdom,52.765303,-1.911238,1
45,29.8,2293512,422587,17/04/2023,MFS,578.4,0,17/04/2023,34.46,187.2,0.528,0.357142857,2915,WS15,United Kingdom,52.765303,-1.911238,1
46,29.8,2275289,527029,27/03/2023,DX Freight,158.86,0,27/03/2023,30.83,70.54,0.6067,0.426666667,2915,WS15,United Kingdom,52.765303,-1.911238,1
47,29.8,2289357,543690,12/04/2023,DX Express,162.18,0,12/04/2023,10.19,30.08,0.081072905,0.059176587,2915,WS15,United Kingdom,52.765303,-1.911238,1
48,29.8,2280483,624097,31/03/2023,MFS,367.64,0,31/03/2023,34.46,159.13,1.255236,1.049603175,2915,WS15,United Kingdom,52.765303,-1.911238,1
49,29.8,2278775,636003,29/03/2023,DX Freight,192.19,19.99,29/03/2023,16.45,33.88,0.609215,0.363906926,2915,WS15,United Kingdom,52.765303,-1.911238,1
50,29.8,2279451,639102,30/03/2023,MFS,497.8,0,30/03/2023,39.15,96,0.8424,0.222222222,2915,WS15,United Kingdom,52.765303,-1.911238,1
51,29.8,2296725,639102,19/04/2023,DX Freight,268,0,19/04/2023,20.17,44,0.1,0.119047619,2915,WS15,United Kingdom,52.765303,-1.911238,1
52,29.8,2280186,644980,30/03/2023,DX Express,266.56,0,30/03/2023,7.43,21.44,0.181216,0.111111111,2915,WS15,United Kingdom,52.765303,-1.911238,1
53,29.8,2283257,644980,03/04/2023,MFS,203.6,0,03/04/2023,34.46,127,1.4959,1,2915,WS15,United Kingdom,52.765303,-1.911238,1
54,29.8,2289932,644980,12/04/2023,MFS,837.5,0,12/04/2023,162.16,630,9.8565,5,2915,WS15,United Kingdom,52.765303,-1.911238,1
55,29.8,2283559,668520,04/04/2023,DX Freight,137.48,0,04/04/2023,18.32,38.96,0.28544,0.2,2915,WS15,United Kingdom,52.765303,-1.911238,1
56,29.8,2283621,675191,04/04/2023,Split,516.72,0,04/04/2023,45.43,253.48,2.519817143,1.769047619,2915,WS15,United Kingdom,52.765303,-1.911238,1
57,29.8,2279606,739792,30/03/2023,MFS,199.6,0,30/03/2023,34.46,83.64,0.2144,0.145454545,2915,WS15,United Kingdom,52.765303,-1.911238,1
58,29.8,2297497,739792,20/04/2023,DX Freight,150.84,0,20/04/2023,32.49,75.24,0.1584,0.1,2915,WS15,United Kingdom,52.765303,-1.911238,1
59,29.8,2279599,755770,30/03/2023,DX Freight,157.68,0,30/03/2023,32.77,75.24,0.1584,0.1,2915,WS15,United Kingdom,52.765303,-1.911238,1
60,29.8,2297499,755770,20/04/2023,DX Freight,150.84,0,20/04/2023,32.49,75.24,0.1584,0.1,2915,WS15,United Kingdom,52.765303,-1.911238,1
61,29.8,2276086,788609,27/03/2023,DX Express,61.68,8.88,27/03/2023,8.38,25,0.006272,0.041666667,2915,WS15,United Kingdom,52.765303,-1.911238,1
62,29.8,2282412,837022,03/04/2023,Split,2851.28,0,11/04/2023,389.13,1324.59,24.48525571,14.2031746,2915,WS15,United Kingdom,52.765303,-1.911238,1
63,29.8,2292343,873461,14/04/2023,DX Freight,509.8,0,14/04/2023,16.31,33.2,1.92,0.666666667,2915,WS15,United Kingdom,52.765303,-1.911238,1
64,44.21,2281052,16152,31/03/2023,DX Freight,124.36,0,31/03/2023,22.28,48.74,0.090628571,0.05952381,1664,MK1,United Kingdom,52.006042,-0.726102,4
65,44.21,2276229,69001,27/03/2023,DX Freight,48.68,12.34,27/03/2023,11.02,6,0.400412,0.263888889,1664,MK1,United Kingdom,52.006042,-0.726102,4
66,44.21,2276069,191276,27/03/2023,DX Express,69.53,8.22,27/03/2023,7.75,22.83,0.0396,0.030864198,1664,MK1,United Kingdom,52.006042,-0.726102,4
67,44.21,2289226,378832,12/04/2023,MFS,441.28,0,12/04/2023,76.73,195.56,2.45468,1.371428571,1664,MK1,United Kingdom,52.006042,-0.726102,4
68,44.21,2297359,378832,20/04/2023,DX Express,185.76,0,20/04/2023,9.55,28.8,0.071856,0.041666667,1664,MK1,United Kingdom,52.006042,-0.726102,4
69,44.21,2287705,494355,11/04/2023,DX Freight,78.6,14.02,11/04/2023,12.52,23.54,0.349939762,0.395,1664,MK1,United Kingdom,52.006042,-0.726102,4
70,44.21,2277715,562226,28/03/2023,MFS,425.2,0,28/03/2023,39.15,135.8,0.999,0.952380952,1664,MK1,United Kingdom,52.006042,-0.726102,4
71,44.21,2280655,562226,31/03/2023,DX Express,48.28,7.21,31/03/2023,6.8,6.1,0.0228,0.011111111,1664,MK1,United Kingdom,52.006042,-0.726102,4
72,44.21,2297075,562226,19/04/2023,DX Express,198.96,0,20/04/2023,8.31,24.4,0.0912,0.044444444,1664,MK1,United Kingdom,52.006042,-0.726102,4
73,44.21,2289615,583190,12/04/2023,MFS,324.6,0,18/04/2023,39.15,67.5,2.058,1.071428571,1664,MK1,United Kingdom,52.006042,-0.726102,4
74,44.21,2278839,599694,29/03/2023,MFS,2793.64,19.99,29/03/2023,361.27,1212.5,8.4642,8.416666667,1664,MK1,United Kingdom,52.006042,-0.726102,4
75,44.21,2279214,599694,30/03/2023,DX Freight,261.2,0,30/03/2023,33.93,79,0.2455,0.416666667,1664,MK1,United Kingdom,52.006042,-0.726102,4
76,44.21,2292145,599694,14/04/2023,MFS,4891.2,0,14/04/2023,552.64,2294.4,13.00116657,14.80952381,1664,MK1,United Kingdom,52.006042,-0.726102,4
77,44.21,2299108,599694,21/04/2023,DX Freight,149.08,0,21/04/2023,26.33,59.36,0.3288,0.379844961,1664,MK1,United Kingdom,52.006042,-0.726102,4
78,44.21,2277520,606514,28/03/2023,DX Express,17.25,7.21,28/03/2023,6.8,3.05,0.005,0.027777778,1664,MK1,United Kingdom,52.006042,-0.726102,4
79,44.21,2283039,620642,03/04/2023,DX Freight,108.25,0,03/04/2023,17.62,36.01,0.32252,0.246031746,1664,MK1,United Kingdom,52.006042,-0.726102,4
80,44.21,2293256,750220,17/04/2023,DX Freight,47.11,32.22,17/04/2023,10.92,7.65,0.55815,0.25,1664,MK1,United Kingdom,52.006042,-0.726102,4
81,44.21,2276595,758777,28/03/2023,MFS,2988.48,0,28/03/2023,221.06,1664.88,12.78816,6,1664,MK1,United Kingdom,52.006042,-0.726102,4
82,44.21,2279651,833960,30/03/2023,MFS,358.32,0,30/03/2023,39.15,97.32,0.453744,0.594444444,1664,MK1,United Kingdom,52.006042,-0.726102,4
83,44.21,2291838,833960,14/04/2023,DX Express,77.85,7.18,14/04/2023,6.77,17.7,0.1047,0.136363636,1664,MK1,United Kingdom,52.006042,-0.726102,4
84,42.25,2296541,16936,19/04/2023,DX Express,120.43,0,19/04/2023,8.62,25.01,0.110824,0.10513468,1820,NG8,United Kingdom,52.964498,-1.213406,2
85,42.25,2278584,115403,29/03/2023,DX Express,3.5,7.21,29/03/2023,6.8,0.3,0.001,0.002,1820,NG8,United Kingdom,52.964498,-1.213406,2
86,42.25,2291876,139982,14/04/2023,DX Freight,143.97,0,14/04/2023,13.23,25.78,0.61006,0.330357143,1820,NG8,United Kingdom,52.964498,-1.213406,2
87,42.25,2284231,546053,04/04/2023,DX Freight,282.38,0,04/04/2023,22.19,48.44,4.711619048,2.506349206,1820,NG8,United Kingdom,52.964498,-1.213406,2
88,42.25,2291035,599677,13/04/2023,MFS,346.8,0,13/04/2023,39.15,130.8,0.1975,0.166666667,1820,NG8,United Kingdom,52.964498,-1.213406,2
89,42.25,2297741,608200,20/04/2023,MFS,188.16,0,20/04/2023,39.15,94.32,0.168,0.133333333,1820,NG8,United Kingdom,52.964498,-1.213406,2
90,42.25,2277978,621400,29/03/2023,DX Freight,230.8,0,29/03/2023,19.95,42.76,0.416,0.197894737,1820,NG8,United Kingdom,52.964498,-1.213406,2
91,42.25,2275312,630824,27/03/2023,DX Freight,143.67,0,27/03/2023,27.72,62.94,0.58098,0.428571429,1820,NG8,United Kingdom,52.964498,-1.213406,2
92,42.25,2285024,630824,05/04/2023,DX Freight,103.64,0,05/04/2023,32.24,74.8,0.3348,0.19047619,1820,NG8,United Kingdom,52.964498,-1.213406,2
93,42.25,2295848,764478,19/04/2023,DX Freight,217.98,0,19/04/2023,10.92,14.04,0.983952,0.333333333,1820,NG8,United Kingdom,52.964498,-1.213406,2
94,42.25,2278030,809916,29/03/2023,DX Express,0,0,29/03/2023,6.8,6.6,0.072,0.05,1820,NG8,United Kingdom,52.964498,-1.213406,2
95,42.25,2292698,886887,14/04/2023,DX Freight,66.3,14.82,17/04/2023,13.23,25.67,0.39801,0.233766234,1820,NG8,United Kingdom,52.964498,-1.213406,2
96,42.25,2276571,897277,28/03/2023,DX Express,13.54,7.21,28/03/2023,6.8,3.85,0.021,0.009259259,1820,NG8,United Kingdom,52.964498,-1.213406,2
97,42.25,2287238,899486,08/04/2023,DX Express,25.2,7.2,11/04/2023,6.79,2.44,0.0005,0.001,1820,NG8,United Kingdom,52.964498,-1.213406,2
98,42.25,2297145,901350,19/04/2023,DX Express,22.34,7.17,20/04/2023,6.76,5.3,0.0156,0.028985507,1820,NG8,United Kingdom,52.964498,-1.213406,2
99,42.25,2286675,847974,06/04/2023,DX Freight,120.5,0,06/04/2023,11.36,21,1.25,1.25,1820,NG8,United Kingdom,52.964498,-1.213406,2
100,37.69,2283262,19273,03/04/2023,DX Freight,168.7,0,04/04/2023,23.83,52.48,0.297153333,0.243301587,1029,GL54,United Kingdom,51.880284,-1.875728,3
101,37.69,2286006,19273,05/04/2023,DX Freight,108.36,0,06/04/2023,16.38,33.35,0.246913333,0.153968254,1029,GL54,United Kingdom,51.880284,-1.875728,3
102,37.69,2276295,36077,27/03/2023,MFS,953.36,0,27/03/2023,76.73,313.56,2.85272,1.111111111,1029,GL54,United Kingdom,51.880284,-1.875728,3
103,37.69,2288029,36077,11/04/2023,MFS,529.62,0,11/04/2023,76.73,324.66,2.94448,2,1029,GL54,United Kingdom,51.880284,-1.875728,3
104,37.69,2284393,236110,04/04/2023,DX Freight,106.46,0,04/04/2023,12.9,25,0.2675,0.130422374,1029,GL54,United Kingdom,51.880284,-1.875728,3
105,37.69,2286439,284082,06/04/2023,DX Express,63.41,7.2,06/04/2023,6.79,17.76,0.1647,0.113756614,1029,GL54,United Kingdom,51.880284,-1.875728,3
106,37.69,2295299,531830,18/04/2023,DX Freight,245.34,0,18/04/2023,29.41,67.62,0.154008429,0.125545635,1029,GL54,United Kingdom,51.880284,-1.875728,3
107,37.69,2293487,600695,17/04/2023,DX Express,102.85,0,17/04/2023,6.77,15.49,0.025825,0.026666667,1029,GL54,United Kingdom,51.880284,-1.875728,3
108,37.69,2283565,663788,04/04/2023,DX Express,101.82,0,04/04/2023,7.72,22.76,0.144054762,0.160678211,1029,GL54,United Kingdom,51.880284,-1.875728,3
109,37.69,2289748,707149,12/04/2023,MFS,405,0,12/04/2023,39.15,221.4,0.486,0.375,1029,GL54,United Kingdom,51.880284,-1.875728,3
110,37.69,2294084,715836,17/04/2023,DX Freight,110.99,0,17/04/2023,19.01,40.2,0.7901,0.507352941,1029,GL54,United Kingdom,51.880284,-1.875728,3
111,37.69,2286712,725821,06/04/2023,DX Freight,281.35,0,06/04/2023,32.63,81.2,0.119,0.122619048,1029,GL54,United Kingdom,51.880284,-1.875728,3
112,37.69,2289497,838494,12/04/2023,DX Freight,92.55,13.96,12/04/2023,12.46,23.78,0.58074,0.35,1029,GL54,United Kingdom,51.880284,-1.875728,3
113,37.69,2276279,851845,27/03/2023,DX Express,16.53,7.22,28/03/2023,6.81,2.58,0.005714286,0.004761905,1029,GL54,United Kingdom,51.880284,-1.875728,3
114,37.69,2283968,851845,04/04/2023,DX Express,15.21,7.2,04/04/2023,6.79,2.58,0.005714286,0.004761905,1029,GL54,United Kingdom,51.880284,-1.875728,3
115,37.69,2290250,851845,12/04/2023,DX Freight,144.99,0,12/04/2023,24.02,53.7,0.138158286,0.088095238,1029,GL54,United Kingdom,51.880284,-1.875728,3
116,37.69,2293296,851845,17/04/2023,DX Express,138.5,0,17/04/2023,7.7,22.05,0.07875,0.043277311,1029,GL54,United Kingdom,51.880284,-1.875728,3
117,37.69,2289060,900025,11/04/2023,DX Express,40.73,7.18,12/04/2023,6.77,15.96,0.14638,0.071428571,1029,GL54,United Kingdom,51.880284,-1.875728,3
118,37.69,2293370,900880,17/04/2023,DX Freight,250.95,0,17/04/2023,10.92,16.86,1.177904762,0.501587302,1029,GL54,United Kingdom,51.880284,-1.875728,3
119,30.13,2291049,24283,13/04/2023,DX Freight,315.25,0,13/04/2023,31.33,87.4,0.1516,0.142222222,1473,LE7,United Kingdom,52.677164,-1.020786,2
120,30.13,2288132,41023,11/04/2023,MFS,282.5,0,12/04/2023,39.15,132.8,0.9414,0.753968254,1473,LE7,United Kingdom,52.677164,-1.020786,2
121,30.13,2277179,199769,28/03/2023,MFS,436.62,0,28/03/2023,76.73,178.72,2.05638,1.234199134,1473,LE7,United Kingdom,52.677164,-1.020786,2
122,30.13,2275274,577379,27/03/2023,DX Freight,962.24,0,27/03/2023,59.18,144,7.872,2.666666667,1473,LE7,United Kingdom,52.677164,-1.020786,2
123,30.13,2298024,589981,20/04/2023,DX Freight,125.84,0,20/04/2023,12.85,24.62,0.643367143,0.30707672,1473,LE7,United Kingdom,52.677164,-1.020786,2
124,30.13,2283389,603241,04/04/2023,DX Freight,924.3,0,04/04/2023,35.72,84,0.75,0.375,1473,LE7,United Kingdom,52.677164,-1.020786,2
125,30.13,2295963,603241,19/04/2023,DX Freight,924.3,0,19/04/2023,35.57,84,0.75,0.375,1473,LE7,United Kingdom,52.677164,-1.020786,2
126,30.13,2298556,603241,21/04/2023,DX Express,141.37,0,21/04/2023,12.03,36.75,0.058379,0.052338158,1473,LE7,United Kingdom,52.677164,-1.020786,2
127,30.13,2285666,606704,05/04/2023,DX Freight,117.93,0,05/04/2023,21.8,47.79,0.4055,0.333333333,1473,LE7,United Kingdom,52.677164,-1.020786,2
128,30.13,2275758,634791,27/03/2023,DX Freight,336.14,0,27/03/2023,33.93,78.45,0.509,0.477272727,1473,LE7,United Kingdom,52.677164,-1.020786,2
129,30.13,2296606,634791,19/04/2023,DX Freight,319.29,0,19/04/2023,29.41,67.45,0.511,0.426136364,1473,LE7,United Kingdom,52.677164,-1.020786,2
130,30.13,2275411,652462,27/03/2023,MFS,481.4,0,27/03/2023,39.15,92.5,0.412,0.641025641,1473,LE7,United Kingdom,52.677164,-1.020786,2
131,30.13,2285450,668879,05/04/2023,DX Express,36.96,7.2,05/04/2023,6.79,9.06,0.0264,0.027777778,1473,LE7,United Kingdom,52.677164,-1.020786,2
132,30.13,2294912,668879,18/04/2023,DX Express,44.12,7.17,18/04/2023,6.76,16.25,0.1432,0.125,1473,LE7,United Kingdom,52.677164,-1.020786,2
133,30.13,2275390,698387,27/03/2023,DX Freight,205.75,0,27/03/2023,22.67,49.75,0.3489,0.25,1473,LE7,United Kingdom,52.677164,-1.020786,2
134,30.13,2290535,722379,13/04/2023,MFS,340.8,0,13/04/2023,39.15,96,1.7904,1.090909091,1473,LE7,United Kingdom,52.677164,-1.020786,2
135,30.13,2284863,729024,05/04/2023,DX Freight,110.52,0,05/04/2023,10.97,17.37,0.551449,0.513812399,1473,LE7,United Kingdom,52.677164,-1.020786,2
136,30.13,2281505,772502,01/04/2023,MFS,302.28,0,03/04/2023,39.15,138.64,0.98932,0.976190476,1473,LE7,United Kingdom,52.677164,-1.020786,2
137,30.13,2275881,859422,27/03/2023,DX Express,42.35,7.22,27/03/2023,6.81,7.65,0.021,0.024038462,1473,LE7,United Kingdom,52.677164,-1.020786,2
138,30.13,2278246,873305,29/03/2023,DX Freight,124.26,0,29/03/2023,23.45,51.06,0.49866,0.428571429,1473,LE7,United Kingdom,52.677164,-1.020786,2
139,30.13,2281889,898512,03/04/2023,DX Freight,171.64,19.99,03/04/2023,12.96,24.7,0.78318,0.525416667,1473,LE7,United Kingdom,52.677164,-1.020786,2
140,8.72,2283634,27428,04/04/2023,DX Express,44.78,7.2,04/04/2023,6.79,8,0.014,0.007246377,584,CV21,United Kingdom,52.347041,-1.366452,3
141,8.72,2290947,102547,13/04/2023,DX Freight,185.28,19.99,13/04/2023,11.31,20.7,1.1163,0.75,584,CV21,United Kingdom,52.347041,-1.366452,3
142,8.72,2294344,224472,17/04/2023,MFS,207.83,0,18/04/2023,34.46,98.4,1.085,1.002717391,584,CV21,United Kingdom,52.347041,-1.366452,3
143,8.72,2290912,545404,13/04/2023,DX Express,218.73,0,13/04/2023,11.43,34.54,0.084684,0.056354957,584,CV21,United Kingdom,52.347041,-1.366452,3
144,8.72,2287118,584238,07/04/2023,DX Express,134.98,0,11/04/2023,9.91,29.7,0.093,0.080952381,584,CV21,United Kingdom,52.347041,-1.366452,3
145,8.72,2293496,584238,17/04/2023,DX Freight,0,0,17/04/2023,14.77,29.7,0.093,0.080952381,584,CV21,United Kingdom,52.347041,-1.366452,3
146,8.72,2283870,634586,04/04/2023,DX Express,68.05,27.19,04/04/2023,6.79,14.48,0.132775,0.118686869,584,CV21,United Kingdom,52.347041,-1.366452,3
147,8.72,2296681,634586,19/04/2023,DX Express,49.92,27.16,20/04/2023,6.76,12.05,0.0785,0.090909091,584,CV21,United Kingdom,52.347041,-1.366452,3
148,8.72,2284352,657565,04/04/2023,MFS,964.8,0,04/04/2023,162.16,562.5,4.851,5,584,CV21,United Kingdom,52.347041,-1.366452,3
149,8.72,2289951,736841,12/04/2023,Split,1086.91,0,12/04/2023,53.86,305.88,4.06490181,2.114265873,584,CV21,United Kingdom,52.347041,-1.366452,3
150,8.72,2289159,779395,12/04/2023,DX Express,108.05,0,12/04/2023,9.57,28.55,0.10466,0.073150858,584,CV21,United Kingdom,52.347041,-1.366452,3
151,8.72,2292766,810752,15/04/2023,DX Freight,203.57,0,17/04/2023,29.41,67.56,0.502784,0.401058201,584,CV21,United Kingdom,52.347041,-1.366452,3
152,8.72,2283835,851650,04/04/2023,DX Express,49.9,7.2,04/04/2023,6.79,18.04,0.18748,0.071428571,584,CV21,United Kingdom,52.347041,-1.366452,3
153,8.72,2276027,864500,27/03/2023,DX Express,32.46,7.22,27/03/2023,6.81,11.12,0.1102,0.083333333,584,CV21,United Kingdom,52.347041,-1.366452,3
154,8.72,2276107,877918,27/03/2023,MFS,536.2,0,27/03/2023,34.46,184,0.3872,0.5,584,CV21,United Kingdom,52.347041,-1.366452,3
155,8.72,2296981,704772,19/04/2023,DX Express,30.93,7.17,19/04/2023,6.76,10.13,0.06549,0.041666667,584,CV21,United Kingdom,52.347041,-1.366452,3
156,28.46,2298194,31283,20/04/2023,DX Express,107.01,19.99,20/04/2023,8.93,26.94,0.11495,0.098685085,648,DE14,United Kingdom,52.800485,-1.6229,2
157,28.46,2282958,84200,03/04/2023,DX Freight,188.52,0,03/04/2023,21.12,45.36,0.276494,0.146825397,648,DE14,United Kingdom,52.800485,-1.6229,2
158,28.46,2279334,122959,30/03/2023,MFS,517.85,0,30/03/2023,39.15,108.5,1.13421,0.584616756,648,DE14,United Kingdom,52.800485,-1.6229,2
159,28.46,2292018,122959,14/04/2023,DX Freight,334.82,0,14/04/2023,35.57,83.3,1.60231,1.587111111,648,DE14,United Kingdom,52.800485,-1.6229,2
160,28.46,2278218,160025,29/03/2023,DX Freight,536.97,0,31/03/2023,33.93,79,0.21312,0.086904762,648,DE14,United Kingdom,52.800485,-1.6229,2
161,28.46,2293365,210717,17/04/2023,MFS,244.6,0,17/04/2023,39.15,132,1.44,1,648,DE14,United Kingdom,52.800485,-1.6229,2
162,28.46,2288518,349580,11/04/2023,DX Freight,346.9,0,11/04/2023,37.5,97.1,0.153,0.205263158,648,DE14,United Kingdom,52.800485,-1.6229,2
163,28.46,2294510,487500,18/04/2023,MFS,244.6,0,18/04/2023,39.15,132,1.44,1,648,DE14,United Kingdom,52.800485,-1.6229,2
164,28.46,2297616,508412,20/04/2023,DX Freight,150.6,0,20/04/2023,19.4,42,0.054,0.028985507,648,DE14,United Kingdom,52.800485,-1.6229,2
